customerid,tenure,monthlycharges,totalcharges,contract,paymentmethod,churn,gender,seniorcitizen,partner,dependents,internetservice,source
5172-MIGPM,4,65.55,237.2,Month-to-month,Mailed check,0,Male,0,No,No,DSL,kaggle
1710-RCXUS,51,90.35,4614.55,One year,Credit card (automatic),0,Male,0,Yes,No,Fiber optic,kaggle
0374-FIUCA,65,20.4,1414.45,Two year,Credit card (automatic),0,Male,0,Yes,No,No,kaggle
5839-SUYVZ,16,74.55,1170.5,Month-to-month,Credit card (automatic),0,Male,0,No,No,Fiber optic,kaggle
5173-ZXXXL,2,19.95,47.7,One year,Mailed check,0,Male,0,No,No,No,kaggle
1096-ADRUX,66,74.25,4859.25,One year,Bank transfer (automatic),0,Female,0,Yes,Yes,Fiber optic,kaggle
2001-MCUUW,46,108.65,4903.2,Two year,Electronic check,0,Male,0,No,No,Fiber optic,kaggle
2731-GJRDG,32,109.55,3608.0,One year,Bank transfer (automatic),0,Female,0,No,No,Fiber optic,kaggle
4723-BEGSG,72,86.65,6094.25,Two year,Credit card (automatic),0,Male,0,Yes,No,DSL,kaggle
6516-NKQBO,38,81.0,3084.9,Two year,Credit card (automatic),0,Male,0,Yes,Yes,DSL,kaggle
8672-OAUPW,51,47.85,2356.75,One year,Credit card (automatic),0,Male,0,No,Yes,DSL,kaggle
8207-DMRVL,72,114.55,8306.05,Two year,Bank transfer (automatic),0,Male,0,Yes,Yes,Fiber optic,kaggle
3419-SNJJD,65,105.25,6786.4,Month-to-month,Bank transfer (automatic),1,Female,1,Yes,No,Fiber optic,kaggle
6543-CPZMK,9,29.95,248.95,Month-to-month,Electronic check,1,Male,0,Yes,Yes,DSL,kaggle
4765-OXPPD,9,65.0,663.05,Month-to-month,Mailed check,1,Female,0,Yes,Yes,DSL,kaggle
2804-ETQDK,66,20.55,1357.1,Two year,Mailed check,0,Male,0,No,Yes,No,kaggle
6689-VRRTK,44,109.8,4860.35,One year,Credit card (automatic),0,Female,1,No,No,Fiber optic,kaggle
7138-GIRSH,50,69.5,3418.2,Two year,Bank transfer (automatic),0,Male,0,No,No,DSL,kaggle
9396-ZSFLL,15,48.85,631.4,Month-to-month,Mailed check,0,Female,0,No,No,DSL,kaggle
6464-KEXXH,8,25.25,186.3,Month-to-month,Credit card (automatic),0,Male,0,No,No,DSL,kaggle
7134-MJPDY,66,102.85,6976.75,One year,Credit card (automatic),0,Female,1,No,No,Fiber optic,kaggle
5240-CAOYT,57,87.55,4884.85,Month-to-month,Bank transfer (automatic),0,Female,0,No,No,Fiber optic,kaggle
4059-IIEBK,7,78.55,522.95,Month-to-month,Bank transfer (automatic),0,Female,0,No,No,Fiber optic,kaggle
4881-JVQOD,10,34.55,362.6,Month-to-month,Bank transfer (automatic),0,Male,1,Yes,Yes,DSL,kaggle
0516-UXRMT,62,92.05,5755.8,One year,Electronic check,0,Female,0,No,No,Fiber optic,kaggle
4851-BQDNX,40,85.05,3355.65,One year,Electronic check,0,Male,0,Yes,Yes,Fiber optic,kaggle
5148-HKFIR,20,19.7,406.95,Two year,Mailed check,0,Female,0,No,No,No,kaggle
1009-IRMNA,7,20.0,137.6,Month-to-month,Bank transfer (automatic),1,Female,0,No,No,No,kaggle
3003-CMDUU,25,95.15,2395.7,Month-to-month,Electronic check,0,Female,0,Yes,No,Fiber optic,kaggle
5016-IBERQ,23,84.25,1968.1,Month-to-month,Electronic check,0,Male,0,Yes,No,Fiber optic,kaggle
6797-UCJHZ,66,104.6,6819.45,One year,Credit card (automatic),0,Female,1,Yes,No,Fiber optic,kaggle
2469-DTSGX,72,111.65,7943.45,Two year,Electronic check,0,Female,1,No,No,Fiber optic,kaggle
4554-YGZIH,49,90.05,4547.25,Month-to-month,Credit card (automatic),1,Male,1,Yes,No,Fiber optic,kaggle
5099-BAILX,43,110.75,4687.9,Month-to-month,Bank transfer (automatic),1,Male,1,Yes,Yes,Fiber optic,kaggle
9931-KGHOA,46,55.0,2473.95,Month-to-month,Bank transfer (automatic),0,Female,0,Yes,No,DSL,kaggle
1775-KWJKQ,72,89.85,6562.9,Two year,Credit card (automatic),0,Male,0,Yes,Yes,DSL,kaggle
7665-VIGUD,10,20.35,176.3,One year,Mailed check,0,Male,0,No,No,No,kaggle
9411-TPQQV,40,54.55,2236.2,One year,Bank transfer (automatic),0,Female,0,No,No,DSL,kaggle
7207-RMRDB,65,105.5,6985.65,Month-to-month,Electronic check,1,Female,0,Yes,Yes,Fiber optic,kaggle
7954-MLBUN,31,99.45,3109.9,Two year,Bank transfer (automatic),0,Male,0,No,No,Fiber optic,kaggle
2077-DDHJK,68,70.9,4911.35,Two year,Credit card (automatic),0,Female,0,Yes,No,DSL,kaggle
4913-EHYUI,56,104.55,5794.65,One year,Bank transfer (automatic),1,Male,1,Yes,Yes,Fiber optic,kaggle
0195-IESCP,10,85.25,855.3,Month-to-month,Electronic check,1,Male,0,Yes,No,Fiber optic,kaggle
9574-BOSMD,68,25.4,1620.2,Two year,Bank transfer (automatic),0,Male,0,Yes,Yes,No,kaggle
4580-TMHJU,43,56.15,2499.3,Month-to-month,Electronic check,1,Female,0,Yes,Yes,DSL,kaggle
0970-ETWGE,1,89.55,89.55,Month-to-month,Electronic check,1,Male,0,No,No,Fiber optic,kaggle
4908-XAXAY,49,89.85,4287.2,One year,Bank transfer (automatic),0,Female,1,No,No,Fiber optic,kaggle
8404-VLQFB,15,25.25,394.85,Month-to-month,Electronic check,0,Female,0,Yes,Yes,No,kaggle
1626-ERCMM,20,94.55,1899.65,Month-to-month,Electronic check,1,Male,1,Yes,No,Fiber optic,kaggle
0887-HJGAR,1,45.7,45.7,Month-to-month,Mailed check,1,Male,0,No,No,DSL,kaggle
2391-IPLOP,50,69.65,3442.15,One year,Electronic check,0,Male,0,Yes,Yes,DSL,kaggle
5644-PDMZC,2,89.5,161.5,Month-to-month,Electronic check,1,Female,1,No,No,Fiber optic,kaggle
3509-GWQGF,24,70.0,1732.6,Month-to-month,Credit card (automatic),0,Male,1,No,No,Fiber optic,kaggle
9576-ANLXO,3,69.55,222.3,Month-to-month,Bank transfer (automatic),1,Female,0,No,No,Fiber optic,kaggle
2024-BASKD,1,74.6,74.6,Month-to-month,Mailed check,1,Female,0,No,No,Fiber optic,kaggle
5845-BZZIB,35,20.1,655.3,Two year,Mailed check,0,Male,0,Yes,Yes,No,kaggle
1140-UKVZG,17,24.8,475.25,Month-to-month,Mailed check,0,Female,0,No,No,No,kaggle
4160-AMJTL,8,19.65,164.3,Month-to-month,Electronic check,1,Female,1,No,No,No,kaggle
5183-SNMJQ,10,95.1,865.1,Month-to-month,Credit card (automatic),0,Male,0,No,No,Fiber optic,kaggle
8100-PNJMH,68,88.85,6132.7,Two year,Credit card (automatic),0,Male,0,Yes,Yes,DSL,kaggle
7838-LAZFO,45,78.8,3597.5,One year,Bank transfer (automatic),0,Male,0,Yes,No,DSL,kaggle
4464-JCOLN,2,19.85,35.9,One year,Mailed check,1,Male,0,Yes,Yes,No,kaggle
2085-JVGAD,37,20.35,697.65,Month-to-month,Bank transfer (automatic),0,Male,0,Yes,No,No,kaggle
5650-VDUDS,4,24.25,96.05,Month-to-month,Mailed check,1,Female,0,No,No,DSL,kaggle
8095-WANWK,10,45.25,428.7,Month-to-month,Mailed check,0,Female,0,No,No,DSL,kaggle
3030-ZKIWL,1,20.05,20.05,Month-to-month,Mailed check,0,Male,0,No,No,No,kaggle
9565-FLVCG,65,69.55,4459.15,Two year,Mailed check,0,Male,0,Yes,Yes,DSL,kaggle
8755-OGKNA,57,19.5,1167.6,Two year,Bank transfer (automatic),0,Female,0,Yes,Yes,No,kaggle
2800-VEQXM,3,74.75,238.1,Month-to-month,Mailed check,0,Female,0,No,No,Fiber optic,kaggle
7538-GWHML,2,69.65,145.15,Month-to-month,Electronic check,1,Female,0,No,No,Fiber optic,kaggle
5533-RJFTJ,49,30.2,1453.1,Month-to-month,Bank transfer (automatic),0,Male,0,No,No,DSL,kaggle
3859-CVCET,4,45.65,191.05,Month-to-month,Mailed check,1,Female,0,No,No,DSL,kaggle
0214-JHPFW,70,57.8,4039.3,Two year,Bank transfer (automatic),0,Female,0,Yes,No,DSL,kaggle
5642-MHDQT,53,19.85,1039.45,One year,Bank transfer (automatic),0,Female,0,Yes,Yes,No,kaggle
3088-FVYWK,53,25.55,1336.1,Two year,Credit card (automatic),0,Male,0,Yes,Yes,No,kaggle
3276-HDUEG,1,75.05,75.05,Month-to-month,Mailed check,1,Female,0,No,No,Fiber optic,kaggle
9092-GDZKO,22,24.85,493.4,Month-to-month,Credit card (automatic),0,Male,0,No,No,No,kaggle
0823-HSCDJ,52,49.15,2550.9,Month-to-month,Electronic check,1,Male,1,No,No,DSL,kaggle
3729-OWRVL,65,110.35,7246.15,Two year,Electronic check,0,Male,1,No,No,Fiber optic,kaggle
2324-AALNO,48,24.55,1203.95,One year,Bank transfer (automatic),0,Female,0,No,No,No,kaggle
0822-GAVAP,2,34.7,62.25,Month-to-month,Electronic check,1,Female,0,No,No,DSL,kaggle
5760-IFJOZ,3,107.95,313.6,Month-to-month,Mailed check,0,Male,0,No,No,Fiber optic,kaggle
2826-UWHIS,45,81.4,3775.85,Month-to-month,Bank transfer (automatic),0,Male,0,Yes,No,Fiber optic,kaggle
1448-PWKYE,1,80.0,80.0,Month-to-month,Electronic check,1,Male,0,Yes,Yes,Fiber optic,kaggle
7501-IWUNG,61,73.8,4616.05,Two year,Bank transfer (automatic),0,Female,0,Yes,Yes,DSL,kaggle
4957-TREIR,3,64.4,195.65,Month-to-month,Credit card (automatic),0,Male,0,No,No,DSL,kaggle
7251-LJBQN,40,103.75,4188.4,One year,Credit card (automatic),0,Female,1,No,No,Fiber optic,kaggle
8040-MNRTF,1,71.1,71.1,Month-to-month,Mailed check,0,Female,0,No,No,Fiber optic,kaggle
1536-HBSWP,1,49.9,49.9,Month-to-month,Electronic check,0,Female,0,No,No,DSL,kaggle
5313-FPXWG,51,24.6,1266.4,One year,Bank transfer (automatic),0,Male,0,No,No,No,kaggle
0067-DKWBL,2,49.25,91.1,Month-to-month,Electronic check,1,Male,1,No,No,DSL,kaggle
0946-FKYTX,52,30.1,1623.4,One year,Mailed check,0,Male,0,No,No,DSL,kaggle
5076-YVXCM,51,83.4,4149.45,Month-to-month,Bank transfer (automatic),0,Male,0,No,No,Fiber optic,kaggle
8262-COGGB,1,20.45,20.45,Month-to-month,Mailed check,0,Male,0,No,No,No,kaggle
6663-JOCQO,31,75.25,2344.5,One year,Bank transfer (automatic),0,Male,0,Yes,Yes,DSL,kaggle
9620-QJREV,47,20.55,1013.05,One year,Credit card (automatic),0,Male,0,No,Yes,No,kaggle
2276-YDAVZ,3,75.1,270.7,Month-to-month,Credit card (automatic),1,Female,0,No,No,Fiber optic,kaggle
2682-KEVRP,22,20.05,417.0,One year,Mailed check,0,Female,1,No,No,No,kaggle
2480-JZOSN,1,20.65,20.65,Month-to-month,Mailed check,0,Female,0,Yes,No,No,kaggle
0078-XZMHT,72,85.15,6316.2,Two year,Bank transfer (automatic),0,Male,0,Yes,No,DSL,kaggle
5896-NPFWW,3,50.15,168.15,Month-to-month,Electronic check,1,Male,0,Yes,Yes,DSL,kaggle
9978-HYCIN,47,84.95,4018.05,One year,Bank transfer (automatic),0,Male,1,Yes,Yes,Fiber optic,kaggle
8338-QIUNR,72,66.5,4811.6,Two year,Credit card (automatic),0,Male,0,Yes,Yes,DSL,kaggle
1525-LNLOJ,66,63.3,4189.7,Two year,Bank transfer (automatic),0,Male,0,Yes,Yes,DSL,kaggle
9450-TRJUU,35,83.15,2848.45,Month-to-month,Electronic check,0,Male,0,No,No,Fiber optic,kaggle
1766-GKNMI,29,84.9,2516.2,Month-to-month,Electronic check,0,Male,0,No,No,Fiber optic,kaggle
6942-LBFDP,2,20.55,33.6,Month-to-month,Mailed check,0,Female,0,No,No,No,kaggle
1456-TWCGB,4,49.25,208.45,Month-to-month,Mailed check,0,Male,0,No,No,DSL,kaggle
7133-VBDCG,25,79.85,2015.35,Month-to-month,Bank transfer (automatic),1,Female,0,No,No,Fiber optic,kaggle
7596-ZYWBB,65,59.6,3739.8,Two year,Mailed check,0,Female,0,No,No,DSL,kaggle
8329-UTMVM,27,104.65,2964.0,One year,Bank transfer (automatic),0,Male,1,No,No,Fiber optic,kaggle
3014-WJKSM,29,75.3,2263.4,Month-to-month,Credit card (automatic),0,Male,0,Yes,No,Fiber optic,kaggle
3347-YJZZE,29,80.1,2211.8,Month-to-month,Credit card (automatic),0,Male,0,Yes,Yes,DSL,kaggle
1029-QFBEN,1,19.55,19.55,Month-to-month,Mailed check,1,Male,0,No,No,No,kaggle
7929-DMBCV,20,81.0,1683.7,Month-to-month,Mailed check,0,Female,0,Yes,No,Fiber optic,kaggle
9661-JALZV,58,24.7,1519.0,Two year,Credit card (automatic),0,Female,0,No,No,No,kaggle
5433-KYGHE,14,86.0,1164.05,Month-to-month,Mailed check,0,Female,0,No,Yes,Fiber optic,kaggle
4312-KFRXN,72,25.4,1710.9,Two year,Mailed check,0,Male,0,Yes,No,No,kaggle
5575-TPIZQ,46,89.15,4245.55,Month-to-month,Credit card (automatic),0,Male,0,No,No,Fiber optic,kaggle
0114-IGABW,71,58.25,4145.9,Two year,Bank transfer (automatic),0,Female,0,Yes,No,DSL,kaggle
9944-AEXBM,32,85.65,2664.3,Month-to-month,Bank transfer (automatic),0,Male,0,No,No,Fiber optic,kaggle
1853-ARAAQ,26,50.35,1277.5,Month-to-month,Credit card (automatic),0,Female,0,No,No,DSL,kaggle
6952-OMNWB,68,80.35,5589.3,Month-to-month,Credit card (automatic),0,Male,1,Yes,No,Fiber optic,kaggle
4697-LUPSU,2,20.2,34.75,One year,Mailed check,0,Male,0,Yes,Yes,No,kaggle
8434-VGEQQ,61,20.55,1305.95,Two year,Credit card (automatic),0,Male,0,Yes,Yes,No,kaggle
4952-YSOGZ,4,85.95,381.3,Month-to-month,Electronic check,1,Female,0,Yes,Yes,Fiber optic,kaggle
1589-AGTLK,3,45.35,141.5,Month-to-month,Electronic check,1,Male,0,No,No,DSL,kaggle
5244-IRFIH,33,94.5,3105.55,Month-to-month,Electronic check,1,Male,1,Yes,No,Fiber optic,kaggle
6549-YMFAW,9,21.25,204.55,Month-to-month,Mailed check,0,Male,1,Yes,No,No,kaggle
4950-HKQTE,22,26.25,605.9,Two year,Mailed check,0,Female,0,No,No,No,kaggle
6786-OBWQR,5,80.85,356.1,Month-to-month,Electronic check,0,Female,0,Yes,Yes,Fiber optic,kaggle
2684-EIWEO,30,91.7,2758.15,Month-to-month,Credit card (automatic),1,Female,1,No,No,Fiber optic,kaggle
2753-JMMCV,65,74.2,4805.65,Two year,Credit card (automatic),0,Male,0,No,No,DSL,kaggle
6439-GTPCA,45,87.25,3941.7,Month-to-month,Electronic check,1,Female,0,No,No,Fiber optic,kaggle
6621-YOBKI,5,20.35,92.75,Month-to-month,Mailed check,0,Male,0,No,No,No,kaggle
1216-JWVUX,25,75.5,1901.05,Month-to-month,Electronic check,0,Male,0,Yes,Yes,Fiber optic,kaggle
7564-GHCVB,72,79.05,5730.7,Two year,Bank transfer (automatic),0,Female,0,Yes,Yes,Fiber optic,kaggle
1173-NOEYG,27,90.15,2423.4,Month-to-month,Bank transfer (automatic),0,Female,0,Yes,No,Fiber optic,kaggle
7595-EHCDL,32,50.6,1653.45,Month-to-month,Credit card (automatic),0,Male,0,Yes,Yes,DSL,kaggle
6647-ZEDXT,30,110.45,3327.05,One year,Credit card (automatic),0,Female,0,No,No,Fiber optic,kaggle
2521-NPUZR,70,101.0,7085.5,Two year,Credit card (automatic),0,Male,0,Yes,No,Fiber optic,kaggle
1307-TVUFB,42,79.35,3344.1,Month-to-month,Bank transfer (automatic),0,Male,1,No,No,Fiber optic,kaggle
7503-MIOGA,72,89.85,6697.35,Two year,Bank transfer (automatic),0,Female,1,Yes,No,DSL,kaggle
4381-MHQDC,47,65.0,2879.9,Two year,Mailed check,0,Female,0,No,No,DSL,kaggle
6923-JHPMP,2,80.45,137.1,Month-to-month,Electronic check,0,Female,0,No,No,Fiber optic,kaggle
5138-WVKYJ,10,98.55,1008.55,Month-to-month,Electronic check,1,Male,0,No,No,Fiber optic,kaggle
4018-PPNDW,61,24.1,1551.6,Two year,Mailed check,0,Female,0,Yes,Yes,No,kaggle
1635-FJFCC,5,44.05,202.15,Month-to-month,Credit card (automatic),0,Female,0,No,No,DSL,kaggle
2499-AJYUA,72,110.8,7882.25,Two year,Credit card (automatic),0,Female,1,Yes,No,Fiber optic,kaggle
6919-ELBGL,72,114.95,8196.4,Two year,Bank transfer (automatic),0,Male,1,Yes,Yes,Fiber optic,kaggle
3966-HRMZA,3,75.05,202.9,Month-to-month,Mailed check,0,Female,1,No,No,Fiber optic,kaggle
6425-JWTDV,48,19.25,855.1,Two year,Mailed check,0,Male,0,Yes,No,No,kaggle
8405-IGQFX,63,90.05,5817.0,One year,Credit card (automatic),0,Female,0,No,No,Fiber optic,kaggle
8224-IVVPA,27,56.7,1652.95,Month-to-month,Mailed check,0,Female,0,No,No,DSL,kaggle
9477-LGWQI,70,80.15,5600.15,Two year,Credit card (automatic),0,Male,0,Yes,Yes,DSL,kaggle
1410-RSCMR,7,71.35,515.75,Month-to-month,Credit card (automatic),0,Male,0,Yes,Yes,DSL,kaggle
0139-IVFJG,2,90.35,190.5,Month-to-month,Electronic check,0,Female,0,Yes,No,Fiber optic,kaggle
6683-VLCTZ,20,98.55,1842.8,Month-to-month,Electronic check,1,Male,1,No,No,Fiber optic,kaggle
5730-DBDSI,66,19.7,1253.8,Two year,Bank transfer (automatic),0,Male,0,No,No,No,kaggle
0030-FNXPP,3,19.85,57.2,Month-to-month,Mailed check,0,Female,0,No,No,No,kaggle
2189-WWOEW,15,85.9,1269.55,Month-to-month,Bank transfer (automatic),1,Female,0,No,Yes,Fiber optic,kaggle
5684-FJVYR,72,90.35,6563.4,Two year,Bank transfer (automatic),0,Female,0,Yes,Yes,Fiber optic,kaggle
4013-GUXND,1,20.8,20.8,Month-to-month,Mailed check,0,Male,0,No,No,No,kaggle
1894-IGFSG,22,89.25,1907.85,Month-to-month,Electronic check,1,Female,0,No,No,Fiber optic,kaggle
7379-POKDZ,3,70.3,208.85,Month-to-month,Electronic check,1,Male,0,Yes,No,Fiber optic,kaggle
1266-NZYUI,72,66.85,4758.8,Two year,Bank transfer (automatic),0,Female,0,Yes,Yes,DSL,kaggle
7969-FFOWG,65,19.9,1292.6,Two year,Mailed check,0,Male,0,Yes,Yes,No,kaggle
4718-DHSMV,11,35.8,363.15,Month-to-month,Mailed check,0,Female,0,No,No,DSL,kaggle
5175-WLYXL,22,78.85,1600.25,Month-to-month,Mailed check,0,Male,0,No,No,Fiber optic,kaggle
7817-OMJNA,14,20.4,275.7,One year,Bank transfer (automatic),0,Male,0,No,No,No,kaggle
8728-SKJLR,41,74.25,3089.1,Month-to-month,Electronic check,0,Male,0,No,No,Fiber optic,kaggle
3137-NYQQI,17,64.8,1175.6,One year,Mailed check,0,Male,0,Yes,No,DSL,kaggle
7706-DZNKK,11,20.45,237.3,Month-to-month,Credit card (automatic),0,Male,0,No,No,No,kaggle
0236-HFWSV,15,93.35,1444.65,Month-to-month,Electronic check,1,Male,0,No,No,Fiber optic,kaggle
3900-AQPHZ,1,19.9,19.9,Month-to-month,Mailed check,1,Female,0,No,No,No,kaggle
5842-POCOP,5,88.9,454.15,Month-to-month,Mailed check,1,Female,0,Yes,No,Fiber optic,kaggle
2037-XJFUP,33,95.8,3036.75,One year,Electronic check,1,Male,0,Yes,No,Fiber optic,kaggle
8823-RLPWL,72,110.65,8065.65,Two year,Credit card (automatic),0,Female,0,Yes,No,Fiber optic,kaggle
9505-SQFSW,3,40.3,92.5,Month-to-month,Mailed check,0,Female,0,Yes,Yes,DSL,kaggle
7314-OXENN,2,82.0,184.65,Month-to-month,Electronic check,1,Male,0,No,No,Fiber optic,kaggle
3758-CKOQL,59,107.0,6152.3,One year,Credit card (automatic),0,Female,0,Yes,No,Fiber optic,kaggle
0322-CHQRU,2,45.35,89.5,Month-to-month,Electronic check,1,Male,0,No,No,DSL,kaggle
5676-CFLYY,71,73.35,5154.5,Two year,Credit card (automatic),0,Male,0,Yes,Yes,DSL,kaggle
7521-AFHAB,5,44.8,220.45,Month-to-month,Mailed check,0,Female,0,Yes,Yes,DSL,kaggle
0285-INHLN,27,54.75,1510.3,Month-to-month,Credit card (automatic),0,Male,0,Yes,Yes,DSL,kaggle
4678-DVQEO,1,52.2,52.2,Month-to-month,Electronic check,1,Female,0,No,No,DSL,kaggle
5125-CNDSP,63,40.6,2588.95,One year,Bank transfer (automatic),0,Male,0,No,Yes,DSL,kaggle
0691-IFBQW,46,110.0,4874.8,One year,Electronic check,1,Female,1,No,No,Fiber optic,kaggle
4992-LTJNE,72,55.3,3983.6,Two year,Bank transfer (automatic),0,Male,0,Yes,Yes,DSL,kaggle
2202-OUTMO,34,60.85,2003.6,Month-to-month,Bank transfer (automatic),0,Female,0,Yes,No,DSL,kaggle
0810-BDHAW,24,78.4,1832.4,One year,Electronic check,0,Female,0,Yes,Yes,DSL,kaggle
0229-LFJAF,72,69.65,4908.25,Two year,Bank transfer (automatic),0,Male,0,No,No,DSL,kaggle
7131-ZQZNK,60,59.85,3590.2,Two year,Credit card (automatic),0,Female,0,Yes,Yes,DSL,kaggle
3442-ZHHCC,68,76.9,5023.0,One year,Credit card (automatic),0,Male,0,No,No,DSL,kaggle
5726-CVNYA,8,19.85,146.6,Two year,Mailed check,0,Female,0,Yes,Yes,No,kaggle
9871-ELEYA,34,67.65,2339.3,Two year,Credit card (automatic),0,Female,0,No,Yes,DSL,kaggle
4257-GAESD,6,45.0,298.7,Month-to-month,Credit card (automatic),0,Female,0,No,No,DSL,kaggle
5173-WXOQV,2,64.2,143.65,Month-to-month,Mailed check,0,Male,0,Yes,No,DSL,kaggle
2040-OBMLJ,31,81.7,2548.65,One year,Credit card (automatic),0,Male,0,No,No,Fiber optic,kaggle
6286-ZHAOK,20,25.55,507.4,Month-to-month,Bank transfer (automatic),0,Female,0,Yes,Yes,No,kaggle
3807-XHCJH,1,20.0,20.0,Month-to-month,Electronic check,0,Female,0,Yes,Yes,No,kaggle
3009-JWMPU,62,96.75,6125.4,One year,Electronic check,1,Male,0,No,No,Fiber optic,kaggle
5671-RQRLP,70,75.65,5411.4,Two year,Credit card (automatic),0,Female,1,Yes,No,Fiber optic,kaggle
1450-GALXR,10,98.5,1058.25,Month-to-month,Electronic check,1,Female,0,No,No,Fiber optic,kaggle
8859-AXJZP,39,23.8,903.8,Two year,Mailed check,0,Male,0,Yes,Yes,No,kaggle
3174-AKMAS,46,64.2,3009.5,Two year,Credit card (automatic),0,Female,0,Yes,No,DSL,kaggle
3138-BKYAV,6,85.35,489.45,Month-to-month,Electronic check,1,Male,0,No,No,Fiber optic,kaggle
9926-PJHDQ,72,76.8,5468.45,Two year,Bank transfer (automatic),0,Female,0,Yes,Yes,DSL,kaggle
7382-DFJTU,18,55.2,1058.1,Month-to-month,Credit card (automatic),0,Male,0,No,No,DSL,kaggle
2798-NYLMZ,71,108.55,7616.0,Two year,Credit card (automatic),0,Male,0,Yes,No,Fiber optic,kaggle
4289-DTDKW,40,101.3,4113.1,Month-to-month,Electronic check,1,Male,0,Yes,No,Fiber optic,kaggle
1820-TQVEV,1,69.55,69.55,Month-to-month,Electronic check,1,Male,0,No,No,Fiber optic,kaggle
2239-JALAW,58,103.25,6017.65,One year,Bank transfer (automatic),1,Male,0,No,No,Fiber optic,kaggle
4853-RULSV,70,104.0,7250.15,Two year,Credit card (automatic),1,Male,0,No,No,Fiber optic,kaggle
8098-TDCBU,42,25.25,1108.2,Two year,Electronic check,0,Female,0,Yes,No,No,kaggle
3551-GAEGL,34,30.4,938.65,One year,Bank transfer (automatic),0,Male,0,Yes,Yes,DSL,kaggle
4785-NKHCX,5,20.05,94.15,Month-to-month,Bank transfer (automatic),0,Male,1,No,No,No,kaggle
3196-NVXLZ,25,84.6,2088.05,Month-to-month,Mailed check,0,Female,0,No,No,Fiber optic,kaggle
6275-YDUVO,2,86.2,178.7,Month-to-month,Mailed check,1,Female,0,No,No,Fiber optic,kaggle
0036-IHMOT,55,103.7,5656.75,One year,Bank transfer (automatic),0,Female,0,Yes,Yes,Fiber optic,kaggle
0115-TFERT,21,111.2,2317.1,Month-to-month,Electronic check,1,Male,0,Yes,No,Fiber optic,kaggle
4178-EGMON,70,88.0,5986.45,Two year,Credit card (automatic),0,Male,0,Yes,No,Fiber optic,kaggle
4220-TINQT,61,106.35,6751.35,Month-to-month,Electronic check,0,Female,0,Yes,No,Fiber optic,kaggle
5318-YKDPV,43,79.15,3566.6,Two year,Credit card (automatic),0,Male,0,Yes,Yes,DSL,kaggle
7975-TZMLR,47,103.1,4889.3,One year,Electronic check,0,Male,0,No,No,Fiber optic,kaggle
0295-QVKPB,5,63.95,318.1,Month-to-month,Credit card (automatic),0,Male,0,No,No,DSL,kaggle
4335-BSMJS,62,25.8,1563.95,Two year,Credit card (automatic),0,Female,0,No,No,No,kaggle
2311-QYMUQ,16,89.45,1430.25,Month-to-month,Credit card (automatic),1,Female,0,Yes,Yes,Fiber optic,kaggle
3643-AHCFP,7,95.6,644.35,Month-to-month,Bank transfer (automatic),1,Male,1,Yes,No,Fiber optic,kaggle
9146-JRIOX,14,25.55,372.45,Month-to-month,Mailed check,0,Female,0,Yes,Yes,No,kaggle
3104-OWCGK,60,90.95,5453.4,One year,Electronic check,1,Male,0,Yes,Yes,Fiber optic,kaggle
5337-IIWKZ,34,44.85,1442.6,Month-to-month,Electronic check,0,Male,0,Yes,Yes,DSL,kaggle
9101-BWFSS,50,108.55,5610.7,One year,Electronic check,1,Female,0,Yes,No,Fiber optic,kaggle
9650-VBUOG,38,25.05,963.95,Two year,Credit card (automatic),0,Male,0,Yes,Yes,No,kaggle
3487-EARAT,70,74.1,5222.3,One year,Credit card (automatic),0,Female,0,Yes,Yes,DSL,kaggle
2672-TGEFF,37,88.8,3340.55,Month-to-month,Electronic check,0,Female,0,Yes,Yes,Fiber optic,kaggle
9231-ZJYAM,4,78.85,292.8,Month-to-month,Electronic check,1,Female,1,No,No,Fiber optic,kaggle
4250-WAROZ,60,93.25,5774.55,Month-to-month,Electronic check,0,Male,1,Yes,Yes,Fiber optic,kaggle
8184-WMOFI,62,71.4,4487.3,One year,Credit card (automatic),0,Male,0,Yes,Yes,DSL,kaggle
6982-SSHFK,1,44.4,44.4,Month-to-month,Mailed check,1,Male,0,No,No,DSL,kaggle
6092-QZVPP,36,79.2,2854.95,Month-to-month,Credit card (automatic),0,Male,0,No,No,DSL,kaggle
4625-LAMOB,44,20.4,905.55,Two year,Credit card (automatic),0,Male,0,No,No,No,kaggle
0727-BMPLR,55,100.0,5509.3,One year,Electronic check,1,Female,1,No,No,Fiber optic,kaggle
0392-BZIUW,72,105.0,7589.8,Two year,Credit card (automatic),0,Female,0,Yes,No,Fiber optic,kaggle
1038-ZAGBI,12,19.8,229.6,One year,Bank transfer (automatic),1,Female,0,Yes,Yes,No,kaggle
6549-NNDYT,13,30.85,394.1,Month-to-month,Bank transfer (automatic),0,Female,0,No,No,DSL,kaggle
3027-ZTDHO,1,89.9,89.9,Month-to-month,Electronic check,1,Male,0,No,No,Fiber optic,kaggle
0422-OHQHQ,15,20.55,295.95,One year,Mailed check,0,Female,0,Yes,Yes,No,kaggle
6916-HIJSE,65,84.85,5459.2,Two year,Bank transfer (automatic),0,Female,0,No,No,DSL,kaggle
2316-ESMLS,12,33.15,444.75,One year,Credit card (automatic),0,Female,0,Yes,Yes,DSL,kaggle
